dataset,page_id,rouge,n_blocks,n_kept,pred_chars,gt_chars,tp,fp,fn,sec
cetd,97e7682704262080e73b206debb96e2b14e6771f590cf985e28106e168d37635,0.960135,84,30,16467,16579,30,0,16,0.2201
cetd,0f81e7efd4e6690c41898f4dcfa3138cb25272b10a092de7182712b1cf09be5b,0.922723,72,21,5931,6306,20,1,13,0.1052
cetd,f34a53813af1a189d022b7c0e9fec20484290b5178e3bc32902e460a25801c19,0.688846,143,34,12323,19566,34,0,81,0.4357
cetd,0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,0.904395,287,75,21139,19466,57,18,80,0.2938
cetd,35f1a0562713500823ad58c6370240517b7e32a766f817aa2deeff72f56bdf8e,0.434865,101,6,2463,8405,6,0,46,0.1251
cetd,0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,0.734680,49,9,4016,4645,9,0,24,0.0756
cetd,c27184f1cdf48bbafaaac4190d4f5cd13695c7a547edc9e16819faa8254dcfae,0.808743,131,23,3317,2625,17,6,17,0.1531
cetd,ffe6b7b34179a2c77a330ec1924703e25a1ee52e69b10c6812570d7e482269d2,0.000000,141,1,46,5158,0,1,61,0.1548
cetd,d2765c54a99f9bbf4048c10d649ebf817f57cc6d169ae241fc8cd60f8c119f1a,0.845182,54,14,3193,3434,14,0,14,0.0756
cetd,376167c718c58280c19062ea9c17a6cb977d21989ce7848fa4f3da12e15b880d,0.547931,78,10,1602,3482,8,2,22,0.0954
cetd,04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,0.690409,77,15,3331,5733,14,1,26,0.0938
cetd,01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,0.604509,102,21,3108,5865,21,0,46,0.1121
cetd,3abb7d2e91921fce50b5a10d6ad91b900b1d04382d37ead831b241a3b9f48e07,0.674115,83,12,1154,1882,12,0,23,0.1122
cetd,29bd09775c1cb78c3a9cb2eb8df337ec2865ea2993562035dba995961f758726,0.766202,124,63,21800,21784,62,1,16,0.2147
cetd,247a665a57a4332b4bf2188a3324b53c8ff8a9f921c5d29faf18568bca414b69,0.668867,122,12,1732,2975,11,1,36,0.1331
cetd,124e919818bc16d87b054721d6be04cd8d01248d121340541a13e496324672b7,0.826960,80,23,5590,7141,22,1,15,0.1043
cetd,edfd6521688d356dfdfba14b4e2c12bc76128d3803688b2c2061ab148bad98e0,0.453237,49,6,771,1670,3,3,7,0.0720
cetd,b37a508c5cd0fe15eefcea8013480dde42e4e40035abab5ef0873f17d14cd679,0.875891,122,23,4354,4658,21,2,24,0.1335
cetd,7f217748301a97fce8eaf8df49cc97f9afc7a1cb4bc274d6f0638cc18f1754fd,0.845869,55,7,2812,3604,7,0,15,0.0942
cetd,0c89b436922f78e4c54d423ffb32733a3ee2ad216c2b1bf7fb8e3b0a658dc460,0.910151,59,21,6348,6699,17,4,5,0.0820
cetd,d9f21709bbacd6a02e58f73de2e38c5b3fa3ffe14c5b0aa9de7dcb4ef03c7a5b,0.913196,49,13,2744,2617,8,5,5,0.0725
cetd,ed9b0014e711b75da84ea969ef98e45724234ace6524a39afd367f2dbd0ee642,0.665179,142,44,16549,28173,44,0,79,0.2078
cetd,babab3bfac39e720ebc31dc6b7ce8d6df77a9a288bba8e946150dd6b120ffbe0,0.940964,55,10,4758,5149,10,0,14,0.0787
cetd,b939012b75eb790a1997073b092908c8c1cac4c0613e3081eee793da6896be97,0.935278,108,19,5227,5067,17,2,17,0.1198
cetd,6eb43384f2dfb863c535cd24dd3dd56cf85ed4bf63d063f329be419bbcdf2d84,0.911808,106,9,3589,3764,8,1,27,0.1638
cetd,53f3c9bb900b774029ffb51b8e137d5613e3c0164cde83c77628de3b869562fd,0.901340,122,23,5329,4952,16,7,31,0.1426
cetd,d5775399d8fe22926a57b7a7391614872a4b8ce6cfaf1ff47b70b5b1b4684506,0.626972,146,17,2416,4412,17,0,49,0.2118
cetd,05cc1786b328e29a4f449d70a86ef58400a9cad62a8c7ee4a3347fc21f8f8d2d,0.815942,146,52,10346,13330,52,0,41,0.1824
cetd,2938baa25ecefef612aae612acdb1979f64f148f6e10e0411b37357fa249389e,0.674588,158,30,3967,5832,28,2,53,0.2189
cetd,3d2aceda5f065aee8a3141158183ac267b94d9a5c8f470aedfe4d17ba9b13bcf,0.890819,125,18,4292,4734,17,1,30,0.1390
cetd,d2067f085588c6249df7ea6843829a113bdcb1da1aaf33b87adcb6a8a216aab3,0.803259,159,80,21775,25581,79,1,59,0.4961
cetd,afc1e9c7f278f72e9d2731f1e949b4fb0e33c84686995ccc51f4dbfabbf741e0,0.927796,44,9,5723,5728,9,0,4,0.0766
cetd,26c233ab55102a34c30ebf741a6e1b0a5dd3714f25323e713b2e0ec01f49959b,0.000000,45,0,0,1983,0,0,16,0.0711
cetd,48cfdf5948ce7683b87c36d5666728f47b5d3b1c0e4ebb0f829a3708225453b5,0.846189,261,147,24902,26129,146,1,88,0.2870
cetd,475d12a446a964d0ea745ad407358df92df1629dbbbe0bede9065308928e069e,0.883005,116,23,4978,4977,21,2,26,0.1385
