dataset,page_id,rouge,n_blocks,n_kept,pred_chars,gt_chars,tp,fp,fn,sec
cetd,97e7682704262080e73b206debb96e2b14e6771f590cf985e28106e168d37635,0.959802,84,31,16494,16579,31,0,15,0.2231
cetd,0f81e7efd4e6690c41898f4dcfa3138cb25272b10a092de7182712b1cf09be5b,0.909802,72,26,6095,6306,23,3,10,0.1103
cetd,f34a53813af1a189d022b7c0e9fec20484290b5178e3bc32902e460a25801c19,0.742816,143,43,14568,19566,43,0,72,0.4553
cetd,0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,0.900622,287,81,21337,19466,62,19,75,0.2929
cetd,35f1a0562713500823ad58c6370240517b7e32a766f817aa2deeff72f56bdf8e,0.440543,101,8,2532,8405,8,0,44,0.1250
cetd,0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,0.721084,49,10,4166,4645,9,1,24,0.0757
cetd,c27184f1cdf48bbafaaac4190d4f5cd13695c7a547edc9e16819faa8254dcfae,0.778947,131,28,3528,2625,17,11,17,0.1529
cetd,ffe6b7b34179a2c77a330ec1924703e25a1ee52e69b10c6812570d7e482269d2,0.002993,141,2,68,5158,1,1,60,0.1542
cetd,d2765c54a99f9bbf4048c10d649ebf817f57cc6d169ae241fc8cd60f8c119f1a,0.821319,54,20,3396,3434,16,4,12,0.0763
cetd,376167c718c58280c19062ea9c17a6cb977d21989ce7848fa4f3da12e15b880d,0.595618,78,13,1849,3482,10,3,20,0.0947
cetd,04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,0.767250,77,20,4089,5733,17,3,23,0.0927
cetd,01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,0.607443,102,26,3242,5865,26,0,41,0.1109
cetd,3abb7d2e91921fce50b5a10d6ad91b900b1d04382d37ead831b241a3b9f48e07,0.659381,83,13,1224,1882,13,0,22,0.1108
cetd,29bd09775c1cb78c3a9cb2eb8df337ec2865ea2993562035dba995961f758726,0.762976,124,65,21948,21784,63,2,15,0.2150
cetd,247a665a57a4332b4bf2188a3324b53c8ff8a9f921c5d29faf18568bca414b69,0.668867,122,12,1732,2975,11,1,36,0.1355
cetd,124e919818bc16d87b054721d6be04cd8d01248d121340541a13e496324672b7,0.822967,80,27,5755,7141,25,2,12,0.1038
