dataset,page_id,rouge,n_blocks,n_kept,pred_chars,gt_chars,tp,fp,fn,sec
cetd,97e7682704262080e73b206debb96e2b14e6771f590cf985e28106e168d37635,0.955824,84,33,16619,16579,31,2,15,6.6634
cetd,0f81e7efd4e6690c41898f4dcfa3138cb25272b10a092de7182712b1cf09be5b,0.911771,72,34,6586,6306,28,6,5,0.2164
cetd,f34a53813af1a189d022b7c0e9fec20484290b5178e3bc32902e460a25801c19,0.802411,143,65,18127,19566,63,2,52,0.2419
cetd,0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,0.888559,287,109,22001,19466,81,28,56,0.2830
cetd,35f1a0562713500823ad58c6370240517b7e32a766f817aa2deeff72f56bdf8e,0.614221,101,14,4073,8405,14,0,38,0.1308
cetd,0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,0.708320,49,16,4341,4645,14,2,19,0.2290
cetd,c27184f1cdf48bbafaaac4190d4f5cd13695c7a547edc9e16819faa8254dcfae,0.575689,131,53,6174,2625,21,32,13,0.1598
cetd,ffe6b7b34179a2c77a330ec1924703e25a1ee52e69b10c6812570d7e482269d2,0.028571,141,13,337,5158,8,5,53,0.1601
cetd,d2765c54a99f9bbf4048c10d649ebf817f57cc6d169ae241fc8cd60f8c119f1a,0.773603,54,24,4606,3434,18,6,10,0.0792
cetd,376167c718c58280c19062ea9c17a6cb977d21989ce7848fa4f3da12e15b880d,0.571156,78,19,2020,3482,12,7,18,0.1018
cetd,04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,0.849694,77,36,5473,5733,29,7,11,0.1011
cetd,01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,0.683016,102,40,4637,5865,38,2,29,0.1159
cetd,3abb7d2e91921fce50b5a10d6ad91b900b1d04382d37ead831b241a3b9f48e07,0.658273,83,15,1266,1882,15,0,20,0.1120
cetd,29bd09775c1cb78c3a9cb2eb8df337ec2865ea2993562035dba995961f758726,0.747114,124,72,22936,21784,66,6,12,0.2155
cetd,247a665a57a4332b4bf2188a3324b53c8ff8a9f921c5d29faf18568bca414b69,0.776471,122,21,2509,2975,18,3,29,0.1336
cetd,124e919818bc16d87b054721d6be04cd8d01248d121340541a13e496324672b7,0.811487,80,34,5915,7141,26,8,11,0.1038
cetd,edfd6521688d356dfdfba14b4e2c12bc76128d3803688b2c2061ab148bad98e0,0.702128,49,14,1581,1670,4,10,6,0.0722
cetd,b37a508c5cd0fe15eefcea8013480dde42e4e40035abab5ef0873f17d14cd679,0.789460,122,40,5709,4658,27,13,18,0.1362
cetd,7f217748301a97fce8eaf8df49cc97f9afc7a1cb4bc274d6f0638cc18f1754fd,0.883107,55,13,3184,3604,10,3,12,0.0985
cetd,0c89b436922f78e4c54d423ffb32733a3ee2ad216c2b1bf7fb8e3b0a658dc460,0.873093,59,31,7946,6699,21,10,1,0.0871
cetd,d9f21709bbacd6a02e58f73de2e38c5b3fa3ffe14c5b0aa9de7dcb4ef03c7a5b,0.762783,49,20,3818,2617,10,10,3,0.0795
cetd,ed9b0014e711b75da84ea969ef98e45724234ace6524a39afd367f2dbd0ee642,0.766310,142,72,21588,28173,71,1,52,0.2144
cetd,babab3bfac39e720ebc31dc6b7ce8d6df77a9a288bba8e946150dd6b120ffbe0,0.880133,55,23,5728,5149,18,5,6,0.0756
cetd,b939012b75eb790a1997073b092908c8c1cac4c0613e3081eee793da6896be97,0.876437,108,37,5995,5067,22,15,12,0.1195
cetd,6eb43384f2dfb863c535cd24dd3dd56cf85ed4bf63d063f329be419bbcdf2d84,0.781666,106,30,4916,3764,18,12,17,0.1651
