dataset,page_id,rouge,n_blocks,n_kept,pred_chars,gt_chars,tp,fp,fn,sec
cetd,97e7682704262080e73b206debb96e2b14e6771f590cf985e28106e168d37635,0.957682,84,32,16572,16579,31,1,15,0.2397
cetd,0f81e7efd4e6690c41898f4dcfa3138cb25272b10a092de7182712b1cf09be5b,0.908419,72,28,6142,6306,24,4,9,0.1068
cetd,f34a53813af1a189d022b7c0e9fec20484290b5178e3bc32902e460a25801c19,0.804117,143,48,17048,19566,48,0,67,0.4429
cetd,0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,0.894786,287,92,21617,19466,71,21,66,0.2803
cetd,35f1a0562713500823ad58c6370240517b7e32a766f817aa2deeff72f56bdf8e,0.440543,101,8,2532,8405,8,0,44,0.1298
cetd,0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,0.721084,49,10,4166,4645,9,1,24,0.0766
cetd,c27184f1cdf48bbafaaac4190d4f5cd13695c7a547edc9e16819faa8254dcfae,0.724307,131,34,4103,2625,18,16,16,0.1557
cetd,ffe6b7b34179a2c77a330ec1924703e25a1ee52e69b10c6812570d7e482269d2,0.006941,141,4,102,5158,3,1,58,0.1581
cetd,d2765c54a99f9bbf4048c10d649ebf817f57cc6d169ae241fc8cd60f8c119f1a,0.821319,54,20,3396,3434,16,4,12,0.0769
cetd,376167c718c58280c19062ea9c17a6cb977d21989ce7848fa4f3da12e15b880d,0.590617,78,14,1882,3482,11,3,19,0.0963
cetd,04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,0.796338,77,26,4481,5733,23,3,17,0.0990
cetd,01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,0.656999,102,31,3953,5865,31,0,36,0.1137
cetd,3abb7d2e91921fce50b5a10d6ad91b900b1d04382d37ead831b241a3b9f48e07,0.659381,83,13,1224,1882,13,0,22,0.1127
cetd,29bd09775c1cb78c3a9cb2eb8df337ec2865ea2993562035dba995961f758726,0.762305,124,66,21983,21784,64,2,14,0.2147
cetd,247a665a57a4332b4bf2188a3324b53c8ff8a9f921c5d29faf18568bca414b69,0.673581,122,13,1773,2975,12,1,35,0.1328
cetd,124e919818bc16d87b054721d6be04cd8d01248d121340541a13e496324672b7,0.820577,80,29,5785,7141,26,3,11,0.1037
cetd,edfd6521688d356dfdfba14b4e2c12bc76128d3803688b2c2061ab148bad98e0,0.738806,49,9,1414,1670,4,5,6,0.0716
cetd,b37a508c5cd0fe15eefcea8013480dde42e4e40035abab5ef0873f17d14cd679,0.864253,122,30,4769,4658,26,4,19,0.1330
cetd,7f217748301a97fce8eaf8df49cc97f9afc7a1cb4bc274d6f0638cc18f1754fd,0.890368,55,10,3115,3604,9,1,13,0.0937
cetd,0c89b436922f78e4c54d423ffb32733a3ee2ad216c2b1bf7fb8e3b0a658dc460,0.915359,59,28,6855,6699,20,8,2,0.0795
cetd,d9f21709bbacd6a02e58f73de2e38c5b3fa3ffe14c5b0aa9de7dcb4ef03c7a5b,0.903674,49,15,2788,2617,8,7,5,0.0728
cetd,ed9b0014e711b75da84ea969ef98e45724234ace6524a39afd367f2dbd0ee642,0.733337,142,61,19816,28173,60,1,63,0.2046
cetd,babab3bfac39e720ebc31dc6b7ce8d6df77a9a288bba8e946150dd6b120ffbe0,0.918865,55,14,5053,5149,13,1,11,0.0750
cetd,b939012b75eb790a1997073b092908c8c1cac4c0613e3081eee793da6896be97,0.908865,108,27,5564,5067,19,8,15,0.1153
cetd,6eb43384f2dfb863c535cd24dd3dd56cf85ed4bf63d063f329be419bbcdf2d84,0.877537,106,15,3899,3764,13,2,22,0.1646
cetd,53f3c9bb900b774029ffb51b8e137d5613e3c0164cde83c77628de3b869562fd,0.848561,122,32,6036,4952,19,13,28,0.1456
cetd,d5775399d8fe22926a57b7a7391614872a4b8ce6cfaf1ff47b70b5b1b4684506,0.622540,146,23,3094,4412,20,3,46,0.2239
cetd,05cc1786b328e29a4f449d70a86ef58400a9cad62a8c7ee4a3347fc21f8f8d2d,0.882727,146,62,12098,13330,62,0,31,0.1854
cetd,2938baa25ecefef612aae612acdb1979f64f148f6e10e0411b37357fa249389e,0.686489,158,34,4336,5832,30,4,51,0.2202
